example_id,category_label,intended_urgency,text
1,Attendance / engagement,Low,"Cadet who was previously punctual has started arriving a little late to parade over the last month, saying they are tired from schoolwork. They remain engaged in activities once present and deny any particular worries when asked informally."
2,Financial hardship,Low,"Cadet quietly asked if there was any support available with travel costs to annual camp, explaining that money is tight at home at the moment. They appeared slightly embarrassed but not distressed."
3,Bullying,Low,Cadet reported that a small group occasionally tease them about their kit and boots being older than everyone else’s. They described it as 'banter' but said it can get a bit much at times. No physical incidents reported.
4,Behaviour / conduct,Low,"Staff have noticed the cadet has become more talkative during lessons and needs frequent reminders to focus. There have been no arguments or safety incidents, but the change has been commented on by a couple of peers."
5,Online safety,Low,"Cadet mentioned receiving a few unwanted friend requests on social media from people they do not know. They declined the requests and blocked the profiles, but asked whether they had done the right thing."
6,Mental health,Medium,Cadet has appeared increasingly flat in mood over several weeks and has stopped volunteering for leadership tasks they previously enjoyed. They described feeling stressed and 'fed up with everything' but denied any thoughts of hurting themselves.
7,Home issues,Medium,"Cadet disclosed that arguments at home have become more frequent and louder, saying it is hard to sleep when adults are shouting. They stated that nobody has been physically violent but they feel on edge a lot of the time."
8,Bullying,Medium,Cadet reports that a small group regularly exclude them from team activities and make comments about their appearance. They have started missing the occasional parade night to avoid seeing the group.
9,Online safety,Medium,Cadet showed staff a group chat where other young people have been sharing explicit memes and videos. They feel uncomfortable but also worry about being laughed at if they leave the chat.
10,Attendance / engagement,Medium,"Cadet’s attendance has dropped from regular to sporadic over a six-week period. When contacted, the cadet said they are 'not really in the mood for anything at the moment' but would not elaborate further."
11,Mental health / self-harm,High,"Cadet disclosed that they have been struggling to sleep and eat properly and sometimes feel that everything would be easier if they were not around. They denied having a specific plan, but became tearful and found it hard to talk about support."
12,Home issues / abuse at home,High,Cadet described being regularly shouted at and insulted at home and said that objects are sometimes thrown during arguments. They stated they have not been directly hit but worry that it might happen.
13,Physical safety,High,Staff noticed bruising on the cadet’s upper arms and when asked they became visibly anxious and said they 'don’t want to get anyone into trouble'. They did not give a clear explanation for the injuries.
14,Abuse by adult in organisation (CFAV),High,"Cadet reported that a Cadet Force Adult Volunteer has been regularly singling them out for one-to-one conversations after activities and making comments about their appearance that feel too personal. No physical contact reported, but the cadet said they feel uncomfortable and try to avoid being alone with this adult."
15,Online safety / grooming,High,Cadet disclosed that an older individual they met through a gaming platform has been sending them gifts in an online game and has now started asking for private video calls. The cadet has not agreed yet but feels pressured to respond.
16,Abuse by adult in organisation (CFAV),High,Another cadet reported seeing a CFAV repeatedly ask this cadet to stay behind alone after parade and close the office door. The reporting cadet said the younger cadet appeared upset afterwards but would not say what had happened.
17,Home issues / physical abuse,High,Cadet quietly stated that when adults at home are angry they sometimes grab them by the arm and push them into their bedroom. They said they 'try not to make a fuss' to avoid making things worse.
18,Radicalisation / extremism,High,Cadet has started expressing admiration for individuals associated with extremist groups and has been sharing links to videos that promote violence as a solution to political problems. They appear dismissive when challenged by peers.
19,Exploitation / trafficking,High,Cadet disclosed that an older acquaintance frequently picks them up late at night and gives them money for 'helping out' at locations they do not want to describe. They said they feel they have to keep going to avoid letting this person down.
20,FGM / harmful practices,High,Cadet mentioned that relatives abroad have said there will be a 'special ceremony' when they next visit. They appeared anxious when discussing this and asked whether everything families do in other countries is allowed here.
21,Mental health / self-harm,Critical,Cadet told a member of staff that they have decided they no longer want to be alive and described a clear plan for how they might harm themselves after leaving parade this evening.
22,Home issues / severe abuse,Critical,Cadet arrived at parade with fresh injuries and disclosed that an adult at home hit them during an argument earlier the same day. They appeared extremely distressed and asked staff not to send them back.
23,Abuse by adult in organisation (CFAV),Critical,Cadet disclosed that a CFAV has touched them inappropriately in a private area of the building and warned them not to tell anyone. The cadet was visibly shaken and said they do not want to attend future activities if that adult is present.
24,Radicalisation / extremism,Critical,Another cadet reported that this cadet has spoken about wanting to travel to a conflict zone to fight for an extremist cause and has shown messages from contacts encouraging them to make arrangements soon.
25,Exploitation / trafficking,Critical,Police contacted the unit to say the cadet has been found late at night far from home in the company of much older individuals known to services for exploitation concerns. The cadet has been evasive about what they were doing.
26,Financial hardship / neglect,Medium,"Staff observed that the cadet regularly attends in clothing that appears unwashed and ill-fitting. When asked, they said that there is often not enough money for new clothes or laundry and that they sometimes skip meals."
27,Behaviour / conduct,Medium,Cadet has been involved in several low-level fights with peers over the last month and has started boasting about getting into trouble outside cadets. They minimise the impact on others when spoken to privately.
28,Online safety / image sharing,High,"Cadet disclosed that they sent a partially undressed image to someone they believed was a peer online, and that this person is now threatening to share the image if they do not send more. The cadet is extremely worried about family and friends finding out."
29,Home issues / substance misuse,Medium,Cadet reported that adults at home drink heavily most evenings and that arguments sometimes continue late into the night. They said they have not been physically hurt but often feel scared and struggle to sleep.
30,Abuse by adult in organisation (CFAV) / boundaries,Medium,Cadet showed staff a series of late-night messages from a CFAV in which the adult used informal nicknames and asked personal questions about relationships and feelings. No explicit sexual content but the tone felt too intimate for the role.
